ID	description	image	product	period	repository	production site	find site	style	motif	technique	structure	culture	composition	component	thread 1	material	type of torsion	colour of the thread strands	thickness	direction of torsion	torsion of thread	thread 2	thread 3	fabric	colour	number of colour layers	contrast	finish	motif attribute	scene	sequence	symmetry	size	usage	direction of warp	thread 4	thread 5	thread 6
ILCA_BML004	"Pieza 3 de un fragmento de banda acolchada en fibra de camélido.
Conforma la pieza 3 del objeto Am1954,05.567 (y Am1954,05.568).
La banda tiene flecadura de urdimbre en un extremo.
Se compone de estructuras y técnicas mixtas, con intercambio de capas.
La banda tiene nueve bloques en fila de diseños alternados de ganchos o tronos entrelazados y de dos volutas entrelazados.
La base de los ganchos entrelazados es tejido llano y la base de las volutas es entrelazado oblicuo de urdimbre y trama triples.
La figura de voluta está en una técnica tubular que da el diseño en relieve en la superficie.
Los ganchos entrelazados tienen bordado en zigzag encima y son de color rojo intermedio, café claro y amarillo claro.
Las volutas tienen base de color café intermedio.
"	['BML004_IMG_3190.jpg', 'BML004_IMG_3191.jpg', 'BML004_IMG_3194.jpg', 'BML004_IMG_3195.jpg', 'BML004_IMG_3196.jpg', 'BML004_a.jpg']	Headband fragment	Middle Horizon (600-1000 AD)	British Museum, website	Nasca, Peru, South coast	Paracas, Peru, South coast	Nasca-Huari (Late or Proliferous Nasca)	'S' motif, Fret, Pampa	Oblique interlacing technique, Tubular technique	Complex tubular structure, Simple oblique interlacing structure	Nasca-Huari (Late or Proliferous Nasca)	Band	Extended component, Structural component	Warp and weft thread	Camelid fibre								Oblique interlacing, Tubular, Warp-faced cloth	Greenish-blue, Pink, Reddish brown, Reddish violet, Yellowish brown			Complex plaited warp fringe, Complex plaited warp fringe, Complex braided warp fringe, Complex structural tubular finishing, Zigzag embroidery										
ILCA_BML005	"Fragmento de textil en algodón en el tejido equilibrado de base y en camélido en el bordado estructural.
Tiene restos de otras secciones de tela balanceada en los costados de la pieza.
El fragmento está cortado en los cuatro orillos.
Tiene diseños de trono y lengua entrelazados organizados en filas en un eje diagonal.
Cada motivo está en una posición invertida en relación al otro.
Se usa filas de colores violeta, amarillo, rojo, café y café oscuro.
La tela de base es balanceada de urdimbre y trama pareada, y se aplica a ella una técnica de tapiz, en bordado estructural en trama suplementaria o figura de trama (qipa salta).
Demuestra influencia chimú de la costa central o valles centrales.
"	['BML005_IMG_3198.jpg', 'BML005_IMG_3200.jpg', 'BML005_IMG_3202.jpg', 'BML005_IMG_3203.jpg']		Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Peru	La Libertad, North coast, Peru	Provincial Chimu	Tongue and throne motif	Weft figure	Weft-faced structure, warped in 1 layer	Chimu	Band	Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Weft-faced cloth	Blue, Bluish violet, Brown, Grey, Reddish violet, Yellow													
ILCA_BML006	"Fragmento de unco o túnica en tapicería compuesto por 3 piezas, elaborada de algodón en la urdimbre y fibra de camélido en la trama.
La estructura es urdida a uno y la técnica es tapiz no ranurado enlazado o dovetailed.
Las tres piezas están unidas con enlazado.
La terminación del textil tiene flecadura agregada (en color rojo) a la parte inferior.
La parte inferior de la pieza principal es una banda en azul con una fila de animales (arácnido, crustáceo o octópodo) flanqueada por listas angostas en azul oscuro.
La parte principal del fragmento tiene fondo rojo, con motivos de dos zoomorfos en perfil (felinos) con garras, cola larga (con figuras de S adentro) y con un ¿bulto? en el lomo (o barriga) que contiene una de las figuras de animal (arácnido, crustáceo o octópodo).
Los dos zoomorfos está en una relación de espejismo, uno hacia abajo y el otro hacia arriba.
Los zoomorfos están en amarillo claro, delineado con negro, y las inserciones en rojo oscuro y claro, y azul, delineados en negro.
Hay además dos cuadrados de zigzag en la derecha e izquierda de cada bloque de diseño y bloques pequeños de S en torno al zoomorfo, como si fueran elementos de información adicional.
En un solo bloque vertical de la pieza se tendrá dos zoomorfos arriba y tres animales (arácnido, crustáceo o octópodo) abajo.
Parece que la pieza era compuesta de unidades de esta composición.
La pieza tiene acabados de reparación en los bordes cortados, en festón en ojal (en azul) en un lado, y en festón simple (en rojo claro) en el otro.
"	['BML006_IMG_3206.jpg', 'BML006_IMG_3209.jpg', 'BML006_IMG_3210.jpg', 'BML006_IMG_3212.jpg']	Tunic fragment	Middle Horizon (600-1000 AD)	British Museum, website	Nasca, Peru, South coast	Peru, South coast	Nasca-Huari (Late or Proliferous Nasca)	Feline in general, Medusa, Zigzag	Dovetailed technique	Weft-faced structure, warped in 1 layer	Nasca-Huari (Late or Proliferous Nasca)	Grouping of bands		Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Weft-faced cloth	Blue, Greenish-blue, Red, Reddish brown, Violet			Blanket stitch, Overcasting stitch, buttonhole stitch	With an 'S' motif in its interior, With appendices, With volutes			Axial symmetry, Mirroring						
ILCA_BML007	"Corona tejida de doble cara en faz de urdimbre, elaborada de fibra de camélido.
La estructura es urdida en cinco capas y con cinco colores (amarillo, café, rojo, azul y café oscuro), en técnica de escogido con conteo por par, 2|2.
La corona tiene forma tubular.
La banda en el eje central de diseños organizados en bloques (tika) tiene motivos de un rombo central con figuras geométricas a los costados, que se repite.
"	['BML007_IMG_3218.jpg', 'BML007_IMG_3221.jpg', 'BML007_IMG_3222.jpg', 'BML007_IMG_3223.jpg', 'BML007_S1_3222.png']	Twisted crown	Middle Horizon (600-1000 AD)	British Museum, website	Nasca, Peru, South coast	Peru, South coast	Nasca-Huari (Late or Proliferous Nasca)	Diamond in general	Selected technique counted in pairs, 2|2, and 2 wefts	Complex warp-faced structure, warped in 5 layers	Nasca-Huari (Late or Proliferous Nasca)	Band	Structural component	Warp thread	Camelid fibre						Weft thread		Warp-faced cloth	Blue, Brown, Reddish brown, Reddish violet		Major contrast		With appendices			Axial symmetry, Translation						
ILCA_BML008	"Fragmento desconocido de tejido llano urdido a uno, en algodón, con técnica de bordado estructural (figura de trama), en tapiz, en fibra de camélido.
Los diseños están organizados en filas verticales en un patrón de rombos con 8 apéndices en color azul oscuro sobre la tela de fondo de café natural intermedio en algodón.
Las bandas de figuras están divididas por líneas o listas verticales en azul oscuro.
"	['BML008_IMG_3227.jpg', 'BML008_IMG_3228.jpg', 'BML008_a.jpg']		Middle Horizon (600-1000 AD)	British Museum, website	Peru, South coast	Peru, South coast		Diamond-sun, Line, Pampa	Weft figure	Weft-faced structure, warped in 1 layer		Band	Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Warp-faced cloth, Weft-faced cloth	Greenish-blue, Reddish brown													
ILCA_BML009	"Fragmento fino (posiblemente una túnica o unco) de tapiz en fibra de camélido.
Tiene bandas con diseños en bloques cuadripartitos (mano, ojo de cóndor, trono y lengua) que posiblemente se repiten.
Los bloques cuadripartitos están organizados con simetrías de espejo en dos direcciones, y en cada dos bloques se ve una figura antropomorfa frontal, con dos ojos divididos, nariz destacada, y boca, cuerpo aserrado, dos manos levantadas y volutas acoronadas en lugar de pies.
Tiene otras bandas de fondo color blanco con figuras alternantes de lo que parece son dados, como objetos de juego, y cabezas delineados en color café oscuro.
Intercalados con ellos son pequeños triángulos igualmente en café con un juego de simetrías.
Presenta una compresión de los diseños en el borde derecho de la pieza, lo que indica que es posiblemente una túnica, de tipo Huari.
"	['BML009_IMG_3240.jpg', 'BML009_IMG_3241.jpg', 'BML009_IMG_3242.jpg', 'BML009_a.jpg']	Tunic fragment	Middle Horizon (600-1000 AD)	British Museum, website	Huari, Peru, South coast	Huari, Peru, South coast	Huari	Anthropomorph in general, Die, Tongue and throne motif, Trophy head	Dovetailed technique	Weft-faced structure, warped in 1 layer	Huari	Grouping of bands	Structural component	Warp thread	Camelid fibre						Weft thread		Weft-faced cloth	Blue, Brown, Greyish white, Reddish brown, Reddish violet				With arms upward									
ILCA_BML010	"Corona tejida muy fina, en tapiz, de una sola pieza con costura para formar el círculo, y luego acabado en festón anillado cruzado.
Es de color dominante de rojo en la cara externa, y usa fibra de camélido.
Tiene una estructura y técnica de entrelazado (de tipo liryu k'ana) en la cara interna, en rojo y blanco, con el uso de algodón.
La cara externa tiene varios diseños de zoomorfos en colores (cabeza en perfil de felino, cabezas de felinos y cuerpo de ofidio, cabeza trofeo, y cabeza del cóndor con su cresta y pico y con motivos S como su collar, la mayoría con ojo dividido.
"	['BML010_IMG_3230.jpg', 'BML010_IMG_3232.jpg', 'BML010_IMG_3234.jpg', 'BML010_IMG_3235.jpg', 'BML010_IMG_3237.jpg', 'BML010_a.jpg']	Twisted crown	Middle Horizon (600-1000 AD)	British Museum, website	Peru	Bolivia, North Altiplano	Huari	Bifurcation, Condor, Feline in general, Serpent, Zoomorph in general	Dovetailed technique	Weft-faced structure, warped in 1 layer	Huari	Grouping of bands		Warp thread	Cotton fibre, cotton fiber Cotton thread						Warp thread	Weft thread	Oblique interlacing, Weft-faced cloth	Blue, Bluish violet, Greenish-blue, Greyish white, Reddish violet, Violet			Complex cross-knit loop stitch in one single colour	In profile									
ILCA_BML011	"Bolsa de tipo sobre funeraria que contiene hojas de coca.
La composición de la bolsa es asimétrica.
Tiene motivos de zoomorfos y calaveras en tres de los cuatro costados.
Luego tiene dos paneles centrales con felinos y serpientes bicéfalas.
Refuerza lo funerario de la bolsa la posibilidad de que los felinos pueden ser guardianes y la serpiente una figura de transformación en lo ancestral (M.
J.
Jiménez 2009: 223).
La estructura de la bolsa es urdida a dos, y la técnica es de doble tela con tramas y urdimbres pareadas en el diseño en blanco sobre un fondo de tejido llano, en algodón natural de varios colores: café, rojo, etc.
"	['BML011_IMG_3244.jpg', 'BML011_IMG_3245.jpg', 'BML011_IMG_3246.jpg', 'BML011_IMG_3248.jpg', 'BML011_S1_3246.png']	Pouch	Late Intermediate (1000-1470 AD)	British Museum, website	Central coast, Chancay, Peru	Central coast, Peru	Chancay	Feline in general, Linear skull, Seed-eye, Tongue and throne motif	Simple double cloth technique, with 2 wefts	Simple warp-faced structure, warped in 2 layers	Chancay	Band	Structural component	Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Weft thread	Weft thread	Warp-faced cloth	Greyish white, Pink, Reddish brown		Intermediate	Constructed opening			Pair of							
ILCA_BML012	"Fragmento de tejido desconocido, con una base de tejido equilibrado en algodón natural, urdida a uno, y la aplicación de bordado estructural (figura de trama) en fibra de camélido en colores.
En la costura (que posiblemente es la costura central de una pieza mayor) tiene otro fragmento parecido adjuntado con puntada, con hilo de color café claro.
La pieza principal está terminada con festón de ojal como es también la pieza adjunta.
La composición es de listas anchas (en rojo) intercaladas con tres bandas de diseños de aves organizadas en bloques (tika).
Los bloques están separadas por bandas de tres rombos en fila vertical.
El bordado estructura imita la estructura de urdido a dos escogido a la técnica de conteo de 2|2.
Los motivos en una banda son aves en perfil en fila, en la banda central son aves con cola de otro animal (vizcacha o nutria, o quizás nutria con cola de ave-pelícano) y en la tercera banda son aves bicéfalas.
"	['BML012_IMG_3249.jpg', 'BML012_IMG_3251.jpg', 'BML012_IMG_3253.jpg']		Middle Horizon (600-1000 AD)	British Museum, website	Peru, South coast	Nasca, Peru, South coast	Provincial Tiwanaku	Bird in general, Medium-sized stripe, Otter, Pampa, Seed-eye	Weft figure	Weft-faced structure, warped in 1 layer	Tiwanaku	Grouping of bands, Grouping of strips		Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Balanced weave, Weft-faced cloth	Greenish-blue, Grey, Greyish white, Pink, Reddish brown, Yellowish brown			Blanket stitch			Row of							
ILCA_BML013_1		['BML013.1_IMG_3255.jpg', 'BML013.1_IMG_3256.jpg', 'BML013.1_IMG_3257.jpg', 'BML013.1_IMG_3260.jpg', 'BML013.1_IMG_3261.jpg']	Headband fragment	Middle Horizon (600-1000 AD)	British Museum, website	Peru, South coast	Peru	Provincial Tiwanaku	Condor, Fox, Pampa, Tapestry border	Weft figure	Weft-faced structure, warped in 1 layer	Tiwanaku	Band		Warp and weft thread	Cotton fibre, cotton fiber Cotton thread						Warp and weft thread	Weft thread	Balanced weave, Weft-faced cloth	Blue, Greenish-blue, Pink, Reddish brown					Scene based on a narrative	Row of							
